#  , subDLAs (19.0 < logNHI < 20.3)                                          , DLAs (20.3 < logNHI < 22.0)
# z, omegaDLA5, omegaDLA17, omegaDLAmedian, omegaDLA83, omegaDLA95, omegaDLA5, omegaDLA17, omegaDLAmedian, omegaDLA83, omegaDLA95
2.395000000000000018e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 6.999999999999999929e-04 7.280000000000000230e-04 7.699999999999999597e-04 8.140000000000000534e-04 8.459999999999999638e-04
2.404999999999999805e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 6.989999999999999686e-04 7.259999999999999743e-04 7.680000000000000195e-04 8.120000000000000048e-04 8.440000000000000236e-04
2.415000000000000036e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 7.029999999999999574e-04 7.309999999999999875e-04 7.730000000000000326e-04 8.180000000000000422e-04 8.499999999999999526e-04
2.424999999999999822e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 7.020000000000000415e-04 7.299999999999999632e-04 7.720000000000000083e-04 8.170000000000000179e-04 8.490000000000000368e-04
2.435000000000000053e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 7.029999999999999574e-04 7.309999999999999875e-04 7.739999999999999485e-04 8.189999999999999581e-04 8.509999999999999769e-04
2.444999999999999840e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 6.999999999999999929e-04 7.290000000000000473e-04 7.720000000000000083e-04 8.170000000000000179e-04 8.490000000000000368e-04
2.455000000000000071e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 7.050000000000000060e-04 7.339999999999999520e-04 7.770000000000000214e-04 8.220000000000000310e-04 8.540000000000000499e-04
2.464999999999999858e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 7.129999999999999836e-04 7.420000000000000380e-04 7.860000000000000233e-04 8.319999999999999488e-04 8.639999999999999677e-04
2.475000000000000089e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.159999999999999919e-04 7.140000000000000079e-04 7.429999999999999539e-04 7.870000000000000476e-04 8.319999999999999488e-04 8.649999999999999920e-04
2.484999999999999876e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.159999999999999919e-04 7.169999999999999724e-04 7.470000000000000511e-04 7.910000000000000364e-04 8.360000000000000460e-04 8.689999999999999808e-04
2.495000000000000107e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 7.190000000000000210e-04 7.500000000000000156e-04 7.929999999999999766e-04 8.390000000000000105e-04 8.729999999999999696e-04
2.504999999999999893e+00 1.359999999999999989e-04 1.499999999999999869e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 7.219999999999999855e-04 7.529999999999999801e-04 7.969999999999999654e-04 8.440000000000000236e-04 8.769999999999999584e-04
2.515000000000000124e+00 1.359999999999999989e-04 1.499999999999999869e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 7.179999999999999967e-04 7.470000000000000511e-04 7.919999999999999523e-04 8.390000000000000105e-04 8.720000000000000537e-04
2.524999999999999911e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.159999999999999919e-04 7.219999999999999855e-04 7.519999999999999558e-04 7.969999999999999654e-04 8.440000000000000236e-04 8.779999999999999827e-04
2.535000000000000142e+00 1.359999999999999989e-04 1.499999999999999869e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.149999999999999947e-04 7.259999999999999743e-04 7.560000000000000530e-04 8.019999999999999785e-04 8.480000000000000124e-04 8.829999999999999958e-04
2.544999999999999929e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.740000000000000010e-04 1.979999999999999881e-04 2.159999999999999919e-04 7.209999999999999612e-04 7.519999999999999558e-04 7.969999999999999654e-04 8.440000000000000236e-04 8.779999999999999827e-04
2.555000000000000160e+00 1.359999999999999989e-04 1.499999999999999869e-04 1.730000000000000038e-04 1.969999999999999909e-04 2.159999999999999919e-04 7.269999999999999987e-04 7.569999999999999689e-04 8.030000000000000028e-04 8.499999999999999526e-04 8.850000000000000444e-04
2.564999999999999947e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.740000000000000010e-04 1.979999999999999881e-04 2.159999999999999919e-04 7.309999999999999875e-04 7.619999999999999820e-04 8.080000000000000160e-04 8.549999999999999658e-04 8.909999999999999734e-04
2.575000000000000178e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.740000000000000010e-04 1.990000000000000124e-04 2.169999999999999891e-04 7.330000000000000361e-04 7.640000000000000306e-04 8.109999999999999805e-04 8.580000000000000387e-04 8.930000000000000221e-04
2.584999999999999964e+00 1.369999999999999961e-04 1.520000000000000084e-04 1.749999999999999982e-04 1.990000000000000124e-04 2.180000000000000134e-04 7.299999999999999632e-04 7.609999999999999577e-04 8.080000000000000160e-04 8.549999999999999658e-04 8.899999999999999491e-04
2.595000000000000195e+00 1.379999999999999933e-04 1.520000000000000084e-04 1.749999999999999982e-04 2.000000000000000096e-04 2.180000000000000134e-04 7.309999999999999875e-04 7.619999999999999820e-04 8.080000000000000160e-04 8.559999999999999901e-04 8.909999999999999734e-04
2.604999999999999982e+00 1.379999999999999933e-04 1.520000000000000084e-04 1.759999999999999954e-04 2.000000000000000096e-04 2.190000000000000106e-04 7.159999999999999481e-04 7.470000000000000511e-04 7.919999999999999523e-04 8.400000000000000348e-04 8.750000000000000182e-04
2.615000000000000213e+00 1.379999999999999933e-04 1.530000000000000056e-04 1.759999999999999954e-04 2.010000000000000068e-04 2.200000000000000078e-04 7.159999999999999481e-04 7.470000000000000511e-04 7.929999999999999766e-04 8.409999999999999507e-04 8.769999999999999584e-04
2.625000000000000000e+00 1.389999999999999905e-04 1.530000000000000056e-04 1.769999999999999926e-04 2.010000000000000068e-04 2.200000000000000078e-04 7.209999999999999612e-04 7.529999999999999801e-04 7.990000000000000140e-04 8.480000000000000124e-04 8.829999999999999958e-04
2.634999999999999787e+00 1.379999999999999933e-04 1.520000000000000084e-04 1.759999999999999954e-04 2.010000000000000068e-04 2.190000000000000106e-04 7.209999999999999612e-04 7.529999999999999801e-04 7.990000000000000140e-04 8.490000000000000368e-04 8.840000000000000201e-04
2.645000000000000018e+00 1.379999999999999933e-04 1.530000000000000056e-04 1.759999999999999954e-04 2.010000000000000068e-04 2.200000000000000078e-04 7.269999999999999987e-04 7.590000000000000175e-04 8.050000000000000515e-04 8.549999999999999658e-04 8.909999999999999734e-04
2.654999999999999805e+00 1.389999999999999905e-04 1.530000000000000056e-04 1.769999999999999926e-04 2.020000000000000040e-04 2.210000000000000050e-04 7.339999999999999520e-04 7.659999999999999708e-04 8.130000000000000291e-04 8.630000000000000518e-04 8.999999999999999754e-04
2.665000000000000036e+00 1.350000000000000017e-04 1.499999999999999869e-04 1.730000000000000038e-04 1.979999999999999881e-04 2.169999999999999891e-04 7.280000000000000230e-04 7.609999999999999577e-04 8.090000000000000403e-04 8.599999999999999789e-04 8.959999999999999866e-04
2.674999999999999822e+00 1.350000000000000017e-04 1.499999999999999869e-04 1.730000000000000038e-04 1.990000000000000124e-04 2.180000000000000134e-04 7.249999999999999500e-04 7.569999999999999689e-04 8.050000000000000515e-04 8.559999999999999901e-04 8.930000000000000221e-04
2.685000000000000053e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.740000000000000010e-04 1.990000000000000124e-04 2.190000000000000106e-04 7.219999999999999855e-04 7.560000000000000530e-04 8.050000000000000515e-04 8.559999999999999901e-04 8.930000000000000221e-04
2.694999999999999840e+00 1.350000000000000017e-04 1.499999999999999869e-04 1.740000000000000010e-04 1.990000000000000124e-04 2.180000000000000134e-04 7.140000000000000079e-04 7.460000000000000268e-04 7.950000000000000252e-04 8.459999999999999638e-04 8.819999999999999715e-04
2.705000000000000071e+00 1.340000000000000045e-04 1.489999999999999897e-04 1.730000000000000038e-04 1.979999999999999881e-04 2.169999999999999891e-04 7.200000000000000453e-04 7.519999999999999558e-04 8.009999999999999542e-04 8.530000000000000256e-04 8.899999999999999491e-04
2.714999999999999858e+00 1.340000000000000045e-04 1.489999999999999897e-04 1.730000000000000038e-04 1.979999999999999881e-04 2.169999999999999891e-04 7.219999999999999855e-04 7.550000000000000287e-04 8.040000000000000271e-04 8.570000000000000144e-04 8.940000000000000464e-04
2.725000000000000089e+00 1.350000000000000017e-04 1.499999999999999869e-04 1.730000000000000038e-04 1.990000000000000124e-04 2.180000000000000134e-04 7.299999999999999632e-04 7.630000000000000063e-04 8.130000000000000291e-04 8.660000000000000163e-04 9.039999999999999642e-04
2.734999999999999876e+00 1.330000000000000073e-04 1.479999999999999925e-04 1.720000000000000066e-04 1.979999999999999881e-04 2.169999999999999891e-04 7.299999999999999632e-04 7.640000000000000306e-04 8.140000000000000534e-04 8.679999999999999565e-04 9.049999999999999885e-04
2.745000000000000107e+00 1.330000000000000073e-04 1.489999999999999897e-04 1.730000000000000038e-04 1.979999999999999881e-04 2.180000000000000134e-04 7.360000000000000006e-04 7.699999999999999597e-04 8.210000000000000067e-04 8.760000000000000425e-04 9.129999999999999661e-04
2.754999999999999893e+00 1.279999999999999942e-04 1.430000000000000064e-04 1.659999999999999963e-04 1.910000000000000077e-04 2.100000000000000087e-04 7.389999999999999651e-04 7.730000000000000326e-04 8.249999999999999955e-04 8.790000000000000070e-04 9.179999999999999792e-04
2.765000000000000124e+00 1.289999999999999914e-04 1.440000000000000036e-04 1.669999999999999935e-04 1.920000000000000049e-04 2.110000000000000059e-04 7.399999999999999894e-04 7.739999999999999485e-04 8.270000000000000441e-04 8.809999999999999472e-04 9.200000000000000278e-04
2.774999999999999911e+00 1.279999999999999942e-04 1.430000000000000064e-04 1.669999999999999935e-04 1.920000000000000049e-04 2.110000000000000059e-04 7.429999999999999539e-04 7.770000000000000214e-04 8.300000000000000086e-04 8.859999999999999603e-04 9.250000000000000409e-04
2.785000000000000142e+00 1.279999999999999942e-04 1.430000000000000064e-04 1.669999999999999935e-04 1.930000000000000021e-04 2.110000000000000059e-04 7.429999999999999539e-04 7.780000000000000457e-04 8.300000000000000086e-04 8.859999999999999603e-04 9.259999999999999568e-04
2.794999999999999929e+00 1.279999999999999942e-04 1.440000000000000036e-04 1.669999999999999935e-04 1.930000000000000021e-04 2.120000000000000031e-04 7.410000000000000137e-04 7.759999999999999971e-04 8.289999999999999843e-04 8.850000000000000444e-04 9.250000000000000409e-04
2.805000000000000160e+00 1.289999999999999914e-04 1.450000000000000009e-04 1.679999999999999907e-04 1.939999999999999993e-04 2.139999999999999975e-04 7.389999999999999651e-04 7.739999999999999485e-04 8.270000000000000441e-04 8.840000000000000201e-04 9.229999999999999923e-04
2.814999999999999947e+00 1.299999999999999886e-04 1.450000000000000009e-04 1.689999999999999879e-04 1.949999999999999965e-04 2.149999999999999947e-04 7.429999999999999539e-04 7.789999999999999616e-04 8.319999999999999488e-04 8.890000000000000333e-04 9.300000000000000541e-04
2.825000000000000178e+00 1.299999999999999886e-04 1.459999999999999981e-04 1.700000000000000122e-04 1.959999999999999937e-04 2.159999999999999919e-04 7.450000000000000025e-04 7.810000000000000102e-04 8.360000000000000460e-04 8.930000000000000221e-04 9.349999999999999587e-04
2.834999999999999964e+00 1.299999999999999886e-04 1.459999999999999981e-04 1.700000000000000122e-04 1.969999999999999909e-04 2.169999999999999891e-04 7.519999999999999558e-04 7.889999999999999878e-04 8.429999999999999993e-04 9.009999999999999997e-04 9.439999999999999607e-04
2.845000000000000195e+00 1.310000000000000129e-04 1.469999999999999953e-04 1.710000000000000094e-04 1.979999999999999881e-04 2.180000000000000134e-04 7.540000000000000044e-04 7.910000000000000364e-04 8.469999999999999881e-04 9.060000000000000128e-04 9.489999999999999738e-04
2.854999999999999982e+00 1.320000000000000101e-04 1.479999999999999925e-04 1.720000000000000066e-04 1.990000000000000124e-04 2.190000000000000106e-04 7.600000000000000418e-04 7.969999999999999654e-04 8.530000000000000256e-04 9.129999999999999661e-04 9.560000000000000355e-04
2.865000000000000213e+00 1.330000000000000073e-04 1.489999999999999897e-04 1.730000000000000038e-04 2.000000000000000096e-04 2.200000000000000078e-04 7.669999999999999951e-04 8.050000000000000515e-04 8.620000000000000275e-04 9.219999999999999680e-04 9.659999999999999533e-04
2.875000000000000000e+00 1.320000000000000101e-04 1.479999999999999925e-04 1.730000000000000038e-04 2.000000000000000096e-04 2.200000000000000078e-04 7.739999999999999485e-04 8.120000000000000048e-04 8.689999999999999808e-04 9.300000000000000541e-04 9.749999999999999552e-04
2.884999999999999787e+00 1.330000000000000073e-04 1.489999999999999897e-04 1.740000000000000010e-04 2.020000000000000040e-04 2.220000000000000022e-04 7.739999999999999485e-04 8.120000000000000048e-04 8.710000000000000294e-04 9.330000000000000186e-04 9.779999999999999197e-04
